Nom de l'organisation,"Type (Association, Groupe informel, Entreprise ou Service public)",Type de lieu,Rue,Code postal,Ville,Code pays,Tag 1,Tag 2,Tag 3,Site web,Description courte,Description longue,Email,Fixe,Mobile,Contact : nom,Contact : email,Contact : téléphone,Contact : rôle,Latitude,Longitude,Lundi,Ouverture matin (ou journée continue) lundi,Fermeture matin lundi,Ouverture après-midi (sauf si une seule tranche horaire) lundi,Fermeture après-midi lundi,Mardi,Ouverture matin (ou journée continue) mardi,Fermeture matin mardi,Ouverture après-midi (sauf si une seule tranche horaire) mardi,Fermeture après-midi mardi,Mercredi,Ouverture matin (ou journée continue) mercredi,Fermeture matin mercredi,Ouverture après-midi (sauf si une seule tranche horaire) mercredi,Fermeture après-midi mercredi,Jeudi,Ouverture matin (ou journée continue) jeudi,Fermeture matin jeudi,Ouverture après-midi (sauf si une seule tranche horaire) jeudi,Fermeture après-midi jeudi,Vendredi,Ouverture matin (ou journée continue) vendredi,Fermeture matin vendredi,Ouverture après-midi (sauf si une seule tranche horaire) vendredi,Fermeture après-midi vendredi,Samedi,Ouverture matin (ou journée continue) samedi,Fermeture matin samedi,Ouverture après-midi (sauf si une seule tranche horaire) samedi,Fermeture après-midi samedi,Dimanche,Ouverture matin (ou journée continue) dimanche,Fermeture matin dimanche,Ouverture après-midi (sauf si une seule tranche horaire) dimanche,Fermeture après-midi dimanche,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13,Tag 14,Tag 15,Tag 16,Tag 17,Tag 18,Tag 19,Tag 20,Tag 21,Tag 22,Tag 23,Tag 24,Tag 25,Tag 26,Tag 27,Tag 28,Tag 29,Tag 30,Tag 31,Tag 32,Tag 33,Tag 34,Tag 35,Tag 36,Tag 37,Tag 38,Tag 39,Tag 40,Tag 41,Tag 42,Tag 43,Tag 44,Tag 45,Tag 46,Tag 47,Tag 48,Tag 49,Tag 50,Tag 51,null/0,null/1,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
AGAME Le Réemploi Solidaire,Association,Espace Public Numérique autre,6, Rue Cimendef,97420,LE PORT ,RE,,,,https://www.agame.re,AGAME Le Réemploi Solidaire,AGAME Le Réemploi Solidaire,info@agame.re,+262 2 62 18 98 98,,PICHON Bruno,info@agame.re,+262 2 62 18 98 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.939348,55.306297,6 Rue Cimendef 97420 Le Port,0.9644754545454545,0.47632974025974023,housenumber,97407_0115_00006,6,6 Rue Cimendef,Rue Cimendef,97420,Le Port,"974, La Réunion",97407,,,,ok
AMAFAR-EPE (Camélias - Saint Denis),Association,Organisme de formation,2 rue Jules Ferry - Camélias,97400,SAINT DENIS,RE,,,,,AMAFAR-EPE (Camélias - Saint Denis),AMAFAR-EPE (Camélias - Saint Denis),secretariat@amafar-epe.re,,,ANDRIANAIVO Mahefa,secretariat@amafar-epe.re,+262 2 62 30 97 25,,,,Mo,09:00,12:00,14:00,16:00,Tu,09:00,12:00,14:00,16:00,We,09:00,12:00,14:00,16:00,Th,09:00,12:00,14:00,16:00,Fr,09:00,12:00,14:00,16:00,,,,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Etre parent à l’ère numérique,Jouer son rôle de parent,Communiquer et échanger sur Internet,Paramétrer un compte email,Utiliser un client de messagerie,Comprendre les cultures numériques,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,Signer numériquement,S’approprier un équipement numérique,Classer et partager ses photos,Gérer ses données,Utiliser un équipement numérique,Accéder aux principaux services en ligne,Gérer des documents numériques,Se renseigner et connaître ses droits,Connaitre et gérer,Effacer ses traces,Protéger ses données,Connaître alternatives à Facebook,Connaître alternatives à Google Drive,Connaître solutions outils bureautiques,Surfer librement sur internet,Sécuriser ses usages numériques,Gérer ses emails,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,Découvrir et utiliser l’emploi Store,,,,,,,,,,,,,,,,,,-20.893509,55.462846,2 Rue Jules Ferry 97400 Saint-Denis,0.7843760676532768,0.7329266666666666,housenumber,97411_0683_00002,2,2 Rue Jules Ferry,Rue Jules Ferry,97400,Saint-Denis,"974, La Réunion",97411,,,,ok
AMPS Sainte-Rose,Association,Espace Public Numérique autre,12, chemin du Jardin - Piton,97439,SAINTE ROSE,RE,,,,,AMPS Sainte-Rose,AMPS Sainte-Rose,amps_reunion@yahoo.fr,,,BODA Jean-Marie,amps_reunion@yahoo.fr,+262 2 62 50 76 99,,,,Mo,08:00,12:00,,,Tu,08:00,12:00,,,We,08:00,12:00,,,Th,08:00,12:00,,,Fr,08:00,12:00,,,,,,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Jouer son rôle de parent,Communiquer et échanger sur Internet,Paramétrer un compte email,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,Signer numériquement,S’approprier un équipement numérique,Classer et partager ses photos,Gérer ses données,Utiliser un équipement numérique,Accéder aux principaux services en ligne,Gérer des documents numériques,Se renseigner et connaître ses droits,Connaitre et gérer,Effacer ses traces,Protéger ses données,Utiliser et contribuer à Wikipedia,Connaître alternatives à Facebook,Connaître alternatives à Google Drive,Surfer librement sur internet,Sécuriser ses usages numériques,Gérer ses emails,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,Découvrir et utiliser l’emploi Store,Découvrir les métiers du numérique,,,,,,,,,,,,,,,,,,,-21.154782,55.824288,12 Chemin du Jardin 97439 Sainte-Rose,0.7818618181818181,0.7814399999999999,housenumber,97419_w4udjh_00012,12,12 Chemin du Jardin,Chemin du Jardin,97439,Sainte-Rose,"974, La Réunion",97419,,,,ok
APEPS TAMPON,Association,Cyberbase/Cybercase,50 rue Victor Hugo,97430,LE TAMPON,RE,,,,,APEPS TAMPON,APEPS TAMPON,apeps-tampon@orange.fr,,,VALIAMIN THIERRY,apeps-tampon@orange.fr,+262 2 62 27 09 29,,,,Mo,13:00,17:00,,,Tu,08:00,17:00,,,We,08:00,16:00,,,Th,08:00,17:00,,,Fr,08:00,12:00,,,,,,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Etre parent à l’ère numérique,Jouer son rôle de parent,Communiquer et échanger sur Internet,Paramétrer un compte email,Utiliser un client de messagerie,Utiliser un client WebMail,Connaître les outils du cloud,Comprendre les cultures numériques,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,Signer numériquement,S’approprier un équipement numérique,Classer et partager ses photos,Gérer ses données,Utiliser un équipement numérique,Accéder aux principaux services en ligne,Gérer des documents numériques,Se renseigner et connaître ses droits,Connaitre et gérer,Effacer ses traces,Protéger ses données,Utiliser et contribuer à Wikipedia,Utiliser outils cartographiques,Organiser et partager sa veille,Connaître alternatives à Facebook,Connaître alternatives à Google Drive,Connaître solutions outils bureautiques,Surfer librement sur internet,Sécuriser ses usages numériques,Gérer ses emails,Faire des diaporamas,Publier des diaporamas en ligne,Participer à des MOOCs,Déposer et gérer une annonce,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,Découvrir et utiliser l’emploi Store,,,,,,,,,-21.279551,55.519961,50 Rue Victor Hugo 97430 Le Tampon,0.9714872727272725,,housenumber,97422_2010_00050,50,50 Rue Victor Hugo,Rue Victor Hugo,97430,Le Tampon,"974, La Réunion",97422,,,,ok
AREP,Association,Organisme de formation,463 Rue Jean Albany ,97410,SAINT PIERRE,RE,,,,www.arep.re,AREP,AREP,honorine.denise@arep.re,,,HONORINE Denise,honorine.denise@arep.re,+262 2 62 25 03 85,,,,Mo,08:00,12:00,13:00,17:00,Tu,08:00,12:00,13:00,17:00,We,08:00,12:00,13:00,17:00,Th,08:00,12:00,13:00,17:00,Fr,08:00,12:00,13:00,17:00,,,,,,,,,,,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Etre parent à l’ère numérique,Communiquer et échanger sur Internet,Paramétrer un compte email,Utiliser un client de messagerie,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,S’approprier un équipement numérique,Classer et partager ses photos,Gérer ses données,Utiliser un équipement numérique,Accéder aux principaux services en ligne,Gérer des documents numériques,Se renseigner et connaître ses droits,Connaître alternatives à Google Drive,Connaître solutions outils bureautiques,Surfer librement sur internet,Gérer ses emails,Participer à des MOOCs,Déposer et gérer une annonce,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,Utiliser un emplacement de co-working,Découvrir et utiliser l’emploi Store,Découvrir les métiers du numérique,,,,,,,,,,,,,,,,,,,,,,,-21.338615,55.465843,Rue Jean Albany 97410 Saint-Pierre,0.8764644471744472,,street,97416_0608,,Rue Jean Albany,Rue Jean Albany,97410,Saint-Pierre,"974, La Réunion",97416,,,,ok
AREP,Association,Espace Public Numérique autre,15, Rue Roland Garros,97460,SAINT PAUL,RE,,,,,AREP,AREP,arep.jocelyneguichard@yahoo.fr,+262 2 62 54 57 64,+262 6 92 31 19 47,GUICHARD Jocelyne,arep.jocelyneguichard@yahoo.fr,+262 2 62 54 57 64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.883451,55.448512,15 Rue Roland Garros 97400 Saint-Denis,0.8463962289562289,0.8432225925925926,housenumber,97411_1190_00015,15,15 Rue Roland Garros,Rue Roland Garros,97400,Saint-Denis,"974, La Réunion",97411,,,,ok
AREP Bas de la Rivière,Association,Espace Public Numérique autre,32, Rue de la Boulangerie Bas de la rivière,97400,SAINT DENIS,RE,,,,,AREP Bas de la Rivière,AREP Bas de la Rivière,varechy.adelia@arep.re,+262 2 62 52 76 33 ,,VARECHY Adélia,varechy.adelia@arep.re,+262 2 62 52 76 33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.877681,55.445514,32 Rue de la Boulangerie 97400 Saint-Denis,0.6260929787234042,0.3140979931389365,housenumber,97411_0217_00032,32,32 Rue de la Boulangerie,Rue de la Boulangerie,97400,Saint-Denis,"974, La Réunion",97411,,,,ok
AREP Chaudron,Association,Espace Public Numérique autre,62, Rue Théodore Chasseriau, Bât 148 le Chaudron,97490,SAINTE CLOTILDE,RE,,,,,AREP Chaudron,AREP Chaudron,varechy.adelia@arep.re,+262 2 62 28 03 86,,VARECHY Adélia,varechy.adelia@arep.re,+262 2 62 28 03 86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.891732,55.489498,62 Rue Theodore Chasseriau 97490 Saint-Denis,0.5719177777777777,0.5187363293310463,housenumber,97411_1392_00062,62,62 Rue Theodore Chasseriau,Rue Theodore Chasseriau,97490,Saint-Denis,"974, La Réunion",97411,,,,ok
Association AIR,Association,Espace Public Numérique autre,6, Rue Youri Gagarine Basse-Terre LCR Vallon ,97410,SAINT PIERRE,RE,,,,,Association AIR,Association AIR,asso.air974@gmail.com,+262 2 62 12 44 38 ,,CHAN-ASHING Jérome,asso.air974@gmail.com,+262 2 62 12 44 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.329134,55.478771,6 Rue Youri Gagarine 97410 Saint-Pierre,0.5411375757575757,,housenumber,97416_0950_00006,6,6 Rue Youri Gagarine,Rue Youri Gagarine,97410,Saint-Pierre,"974, La Réunion",97416,,,,ok
Association AIR,Association,Espace Public Numérique autre,9, rue Xavier Araboux Bat C LCR Salvador DALI,97432,RAVINE DES CABRIS,RE,,,,,Association AIR,Association AIR,asso.air974@gmail.com,+262 2 62 12 44 38 ,,CHAN-ASHING Jérome,asso.air974@gmail.com,+262 2 62 12 44 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.282052,55.47623,9 Rue Xavier Araboux 97432 Saint-Pierre,0.5258237105751391,0.4379726599326599,housenumber,97416_1061_00009,9,9 Rue Xavier Araboux,Rue Xavier Araboux,97432,Saint-Pierre,"974, La Réunion",97416,,,,ok
Association ANKRAGE,Association,Espace Public Numérique autre,12 rue du père Lafosse, 139  Res. Héliotropes ,97420,LE PORT ,RE,,,,,Association ANKRAGE,Association ANKRAGE,asso-ankrage@orange.fr,+262 2 62 57 92 26,,Yolain ARGIEN,asso-ankrage@orange.fr,+262 2 62 57 92 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.939219,55.3026,12 Rue du Père Lafosse 97420 Le Port,0.5744773500967117,,housenumber,97407_0347_00012,12,12 Rue du Père Lafosse,Rue du Père Lafosse,97420,Le Port,"974, La Réunion",97407,,,,ok
